DISTRITO;NSE_ALTO;NSE_MEDIO_ALTO;NSE_MEDIO;NSE_MEDIO_BAJO;NSE_BAJO;POBLACION;HOGARES_ALTO;HOGARES_MEDIO_ALTO;HOGARES_MEDIO;HOGARES_MEDIO_BAJO;HOGARES_BAJO;HOGARES
ATE;0;0;0;0;0;0;0;0;0;0;0;0
BARRANCA;0;0;0;0;0;0;0;0;0;0;0;0
BARRANCO;4,435;29,083;0;0;0;33,518;2,006;9,428;0;0;0;11,434
BREÑA;0;81,112;1,250;0;0;82,362;0;24,982;336;0;0;25,318
CAJAMARCA;0;0;0;0;0;0;0;0;0;0;0;0
CALLAO;39,485;130,985;190,676;67,639;5,342;434,127;11,990;36,257;50,748;17,400;1,496;117,891
CAÑETE;0;0;0;0;0;0;0;0;0;0;0;0
CAYMA;0;0;0;0;0;0;0;0;0;0;0;0
CERCADO;3,121;84,720;125,094;44,078;2,536;259,549;972;25,893;38,842;11,701;677;78,085
CHICLAYO;0;0;0;0;0;0;0;0;0;0;0;0
CHINCHA;0;0;0;0;0;0;0;0;0;0;0;0
CHORRILLOS;6,236;106,227;81,140;94,593;13,821;302,017;1,823;30,458;21,461;23,806;3,705;81,253
COMAS;0;11,472;271,040;207,670;18,751;508,933;0;3,177;72,154;51,122;4,685;131,138
CUSCO;0;0;0;0;0;0;0;0;0;0;0;0
HUACHO;0;0;0;0;0;0;0;0;0;0;0;0
HUANCAYO;0;0;0;0;0;0;0;0;0;0;0;0
HUARAL;0;0;0;0;0;0;0;0;0;0;0;0
ICA;0;0;0;0;0;0;0;0;0;0;0;0
ILO;0;0;0;0;0;0;0;0;0;0;0;0
INDEPENDENCIA;0;0;84,652;57,016;64,765;206,433;0;0;22,895;14,423;16,187;53,505
JESUS MARIA;70,799;0;0;0;0;70,799;23,699;0;0;0;0;23,699
JULIACA;0;0;0;0;0;0;0;0;0;0;0;0
LA MOLINA;119,492;11,796;4,632;1,450;0;137,370;35,107;3,382;1,159;318;0;39,966
LA VICTORIA;0;40,872;127,689;0;0;168,561;0;12,197;38,691;0;0;50,888
LIMA;3,121;84,720;125,094;44,078;2,536;259,549;972;25,893;38,842;11,701;677;78,085
LINCE;10,622;42,862;0;0;0;53,484;3,706;14,363;0;0;0;18,069
LOS OLIVOS;0;163,111;96,036;58,416;1,081;318,644;0;47,049;26,476;14,945;265;88,735
LURIN;0;484;24,966;46,197;14,424;86,071;0;155;7,069;12,092;3,921;23,237
MAGDALENA;58,450;0;0;0;0;58,450;19,121;0;0;0;0;19,121
MIRAFLORES;95,719;0;0;0;0;95,719;37,536;0;0;0;0;37,536
MOQUEGUA;0;0;0;0;0;0;0;0;0;0;0;0
PIURA;0;0;0;0;0;0;0;0;0;0;0;0
PISCO;0;0;0;0;0;0;0;0;0;0;0;0
PUEBLO LIBRE;36,714;44,206;1,045;0;0;81,965;11,766;14,267;261;0;0;26,294
PUENTE PIEDRA;0;3,942;84,070;139,658;95,321;322,991;0;1,139;22,499;36,447;26,336;86,421
PUNO;0;0;0;0;0;0;0;0;0;0;0;0
RIMAC;0;47,402;78,700;37,674;7,251;171,027;0;13,901;22,448;9,948;1,983;48,280
SAN BORJA;102,204;6,767;324;0;0;109,295;32,666;1,993;77;0;0;34,736
SAN ISIDRO;58,235;0;0;0;0;58,235;21,045;0;0;0;0;21,045
SAN JUAN DE LURIGANCHO;0;35,740;308,614;286,917;375,058;1,006,329;0;10,009;84,599;74,226;103,714;272,548
SAN JUAN DE MIRAFLORES;0;73,490;108,503;134,569;29,323;345,885;0;19,747;27,876;32,248;8,199;88,070
SAN LUIS;0;35,267;14,157;804;0;50,228;0;10,236;3,980;217;0;14,433
SAN MARTIN DE PORRES;0;107,081;444,351;73,854;14,665;639,951;0;30,777;122,292;18,484;3,674;175,227
SAN MIGUEL;97,312;53,437;0;0;0;150,749;29,799;16,097;0;0;0;45,896
SANTA ANITA;0;43,670;137,426;8,625;2,134;191,855;0;12,588;39,736;2,115;512;54,951
SURCO;203,441;102,048;15,402;968;0;321,859;65,237;30,435;4,365;337;0;100,374
SURQUILLO;44,246;36,566;7,346;0;0;88,158;15,052;11,689;2,349;0;0;29,090
TACNA;0;0;0;0;0;0;0;0;0;0;0;0
TRUJILLO;0;0;0;0;0;0;0;0;0;0;0;0
VENTANILLA;15,251;22,102;67,214;115,680;91,124;311,371;4,307;5,939;17,091;31,762;25,486;84,585
VILLA EL SALVADOR;0;3,042;113,999;214,871;54,382;386,294;0;900;28,058;51,558;13,406;93,922
YANAHUARA;0;0;0;0;0;0;0;0;0;0;0;0
