LATITUD_LONGITUD;COMPETENCIAS;CERCANIA_MALL
'-12.076152,-76.96365';0;0
'-12.1338132,-76.983377';1;0
'-12.103309,-77.051735';1;0.5
'-12.089879,-77.065598';3;0
'-12.089012,-77.032684';1;0
'-12.179564,-77.009619';1;1
'-12.01875,-77.099824';3;1
'-12.023761,-77.050573';2;0.5
'-11.9979125,-77.1132121';0;1
'-12.094399314070001,-77.0054058697';1;1
'-12.163102,-76.973187';0;0
'-12.1486351,-76.98694549999999';0;1
'-6.778363799999999,-79.83350300000001';0;0
'-12.071646000000001,-77.098608';2;0.5
'-16.399147,-71.5501088';3;0
'-12.108343,-76.96941600000001';3;1
'-12.132361,-77.029072';1;0
'-12.050311,-77.098501';2;1
'-12.117638000000001,-77.036778';0;1
'-11.9681795,-77.00450699999999';1;0
'-12.110339,-76.97686999999999';0;0.5
'-12.051243,-77.035013';1;1
'-5.192694,-80.639533';1;1
'-12.082127999999999,-77.08210079999999';0;0
'-12.09070200235,-77.00543001284001';3;0
'-12.126955,-77.013993';2;0.5
'-12.0289774,-77.0350775';3;1
'-12.175756,-77.018443';2;0
'-12.109073,-77.037991';2;1
'-11.965575999999999,-77.066724';3;0
'-12.105659,-77.017723';3;1
'-12.054338000000001,-76.964508';2;1
'-12.072399,-77.068522';1;0.5
'-12.083387,-77.014462';2;0
'-12.025364,-76.999402';1;0.5
'-12.031812599999999,-77.069131';0;0.5
'-12.0859575,-76.931104';3;0
'-12.091408,-76.951173';0;1
'-12.073171,-77.05001899999999';3;1
'-12.1217244,-77.00538320000001';0;1
'-12.00572,-77.069801';2;1
'-12.05542771,-77.05030647';0;0
'-12.078799,-76.990679';0;0
'-8.1251476,-79.0413869';3;0.5
'-12.0779079,-77.035655';3;0
'-16.419562,-71.5106193';3;0.5
'-12.15010411,-77.02266764';3;0.5
'-12.071475999999999,-77.061311';3;1
'-11.995617,-77.06185';3;0
'-11.940344999999999,-77.069535';0;1
'-11.872722999999999,-77.126661';3;1
'-11.9747725,-77.00056020000001';0;1
'-12.03861425,-76.93369891';3;0
'-11.985650900000001,-77.00682509999999';0;1
'-12.0590396,-76.967014';2;1
'-12.066802000000001,-75.205315';0;0
'-13.523643099999997,-71.95009';0;1
'-11.109910000000001,-77.613701';2;0.5
'-11.933279400000002,-77.04694079999999';1;1
'-12.0055801,-77.0066569';2;0
'-12.12134,-77.028888';1;0
'-12.095751,-77.02533100000001';0;0.5
'-12.048784,-77.03325500000001';3;0
'-12.0775165,-77.0821337';0;1
'-11.865753,-77.07412740000001';1;0
'-12.094135000000001,-77.047465';2;0
'-12.110269,-77.001762';3;0
'-12.054075,-77.042629';0;1
'-12.129709,-76.982681';2;0
'-12.084559,-77.034351';1;0.5
'-12.231023,-76.910449';0;0
'-10.75114130962,-77.75964675';3;0
'-13.71198018,-76.19542226';1;0.5
'-18.018017,-70.252875';0;0
'-12.0482538,-77.1121455';0;1
'-15.8366,-70.0257';1;1
'-16.398972,-71.535948';1;1
'-8.1034731,-79.04783499999999';2;0.5
'-14.070989,-75.728';0;0.5
'-12.05648232,-76.96837759';1;1
'-12.113567999999999,-77.02519000000001';0;0
'-12.079151,-77.08865';0;0
'-11.502811,-77.22473000000001';0;0.5
'-11.9994006,-77.1213752';1;1
'-12.08959,-77.052364';1;0
'-12.062835,-75.209902';2;0.5
'-11.990515,-77.062487';0;0
'-12.0061453,-77.05831529999999';2;0
'-11.941941400000001,-77.0598871';3;0
'-13.41454618,-76.14841143';1;1
'-13.07741,-76.371004';2;0
'-15.494617000000002,-70.130324';0;0
'-7.1493606,-78.51006600000001';2;0.5
'-16.390743,-71.547137';2;1
'-12.1678975,-76.978138';2;1
'-12.2537831,-76.92873409999999';3;0
'-11.994732,-77.06146700000001';1;0.5
'-12.055491,-77.102197';3;1
'-12.086511,-76.9768';1;0
'-12.040000599999999,-76.933364';3;0
'-11.933041000000001,-77.045925';0;0
'-12.111597999999999,-77.011916';3;0
'-12.056338,-77.038185';3;1
'-12.006874,-77.058441';3;0.5
'-17.63842308,-71.34180756';2;1
'-17.18888030415,-70.9401938';1;1
